round;time
1;"17:02:06;17:02:09;17:02:23;17:02:28;17:02:42;17:03:08;17:05:21;17:05:28;17:06:23;17:06:37;17:07:00;17:08:18;17:08:27;17:10:21;17:15:23;17:15:29;17:29:45;17:43:22;17:44:25;17:45:55;17:46:54;17:49:01;17:56:50;18:20:28;18:24:33;18:29:56;18:44:40;18:45:51;18:50:00;18:50:17;18:55:08;19:03:25;19:03:29;19:10:03;19:15:17;19:37:49;19:40:57;19:45:45;19:51:44;19:51:49;19:54:45;19:54:50;19:57:32;19:59:12;19:59:33;20:03:30;20:15:34;20:16:34;20:17:24;20:18:20;20:22:03;20:22:07;20:22:12;20:22:58;20:24:47;20:25:05;20:28:01;20:28:41;20:29:13;20:30:14;20:31:24;20:31:48;20:31:50;20:32:39;20:33:20;20:33:44;20:34:23;20:34:42;20:34:52;20:35:22;20:36:13;20:36:54;20:37:39;20:38:09;20:38:37;20:39:13;20:39:43;20:40:11;20:40:45;20:41:10;20:41:39;20:55:56;21:01:09;21:06:13"
2;"17:02:06;17:02:13;17:02:19;17:02:29;17:02:37;17:02:45;17:02:51;17:02:54;17:03:03;17:03:10;17:03:13;17:03:32;17:03:39;17:04:00;17:04:08;17:04:21;17:04:26;17:04:48;17:04:55;17:06:23;17:06:29;17:06:50;17:06:55;17:07:18;17:07:23;17:07:36;17:13:50;17:26:33;17:26:43;17:32:05;17:37:39;17:44:36;17:45:46;17:50:13;17:52:45;18:11:48;18:24:51;18:29:40;18:29:54;18:51:20;18:51:48;18:55:09;19:00:02;19:02:17;19:08:11;19:10:10;19:10:20;19:10:47;19:10:48;19:10:49"
3;"17:02:06;17:02:09;17:02:13;17:02:20;17:02:37;17:02:44;17:09:06;17:13:46;17:20:57;17:22:37;17:23:00;17:23:07;17:23:21;17:26:07;17:26:14;17:31:09;17:31:36;17:32:08;17:32:35;17:33:59;17:47:17;17:52:35;17:59:00;18:05:29;18:16:09;18:22:18;18:33:50;18:40:34;18:50:00;18:51:34;18:51:48;18:53:59;18:58:10;18:59:41;19:00:35;19:02:55;19:10:08;19:34:08;19:38:41;19:39:50;19:40:13;19:42:47;19:43:08;19:47:58;19:48:07;19:48:46;19:58:19;19:59:13;20:00:09;20:02:38;20:02:54;20:04:24;20:10:09;20:15:49;20:16:32;20:19:40;20:20:43;20:22:01;20:22:02;20:24:22;20:25:47;20:26:41;20:26:50;20:28:45;20:29:46;20:32:10;20:32:40;20:33:30;20:33:44;20:34:47;20:35:43;20:36:53;20:36:55;20:37:15;20:37:17;20:38:10;20:38:24;20:38:52;20:39:48;20:40:23;20:41:34;20:50:33;21:00:16;21:08:11;21:08:13;21:10:02;21:10:43;21:11:15;21:11:35;21:12:15;21:21:11;21:22:56;21:23:11;21:24:00;21:24:22;21:27:14;21:36:38;21:39:57;21:42:04;21:42:17;21:42:19;21:42:23;21:42:24;21:42:28;21:42:43;21:43:25;21:43:28;21:48:11;21:51:50;21:54:42;21:55:22;21:55:25;21:55:41;21:56:42;21:56:47;21:57:19;21:58:26;21:58:36;21:59:37;21:59:40;22:00:06;22:01:24;22:02:27;22:02:33;22:02:38;22:02:51;22:03:40;22:04:05;22:04:14;22:04:28;22:04:50;22:06:29;22:06:58;22:07:14;22:07:58;22:08:21;22:09:08;22:09:55;22:10:00;22:10:06;22:10:51;22:11:44;22:12:23;22:13:02;22:13:33;22:13:39;22:14:17;22:14:30;22:14:34;22:14:37;22:14:44;22:14:49;22:15:03;22:15:08;22:15:24;22:15:33;22:16:49;22:16:59;22:17:11;22:17:21;22:18:08;22:19:38;22:19:43;22:19:57;22:19:58;22:20:03"
4;"17:02:06;17:02:21;17:02:39;17:05:24;17:05:38;17:08:29;17:08:42;17:09:41;17:10:01;17:14:26;17:14:34;17:19:29;17:22:33;17:30:08;17:30:13;17:31:10;17:32:17;17:34:17;17:37:07;17:42:53;17:49:15;17:50:36;17:53:36;17:56:02;18:00:02;18:06:15;18:08:53;18:09:57;18:11:26;18:11:36;18:16:48;18:18:13;18:18:22;18:26:53;18:28:58;18:29:22;18:31:40;18:36:01;18:42:05;18:45:15;18:49:13;18:53:10;18:54:14;18:56:25;19:00:00;19:02:07;19:05:13;19:07:39;19:07:50;19:08:27;19:17:45;19:19:01;19:19:30;19:20:23;19:20:31;19:32:47;19:37:34;19:38:52;19:39:17;19:42:26;19:42:51;19:43:11;19:44:29;19:45:40;19:47:02;19:49:01;19:49:37;19:50:18;19:50:39;19:53:01;19:54:20;19:59:36;20:03:36;20:04:57;20:05:01;20:07:20;20:07:34;20:08:24;20:09:35;20:10:31;20:10:50;20:15:17;20:15:31;20:19:52;20:23:07;20:26:07;20:26:18;20:26:34;20:26:58;20:40:47;20:41:41;20:41:42;20:42:26;20:45:39;20:46:00;20:46:22;20:48:19;20:48:56;20:50:23;20:51:18;20:52:08;20:52:34;20:54:39;20:54:59;20:57:43;20:58:04;20:58:13;20:59:19;21:01:20;21:01:23;21:01:37;21:01:58;21:02:23;21:02:24;21:02:51;21:03:05;21:03:41;21:03:56;21:04:07;21:04:10;21:04:18;21:04:27;21:05:53;21:06:13;21:06:26;21:06:36;21:08:00;21:08:12;21:08:27;21:10:22;21:10:49;21:12:39;21:12:50;21:14:39;21:14:49"
5;"17:02:06;17:02:11;17:02:40;17:03:30;17:03:45;17:05:23;17:05:47;17:08:19;17:08:35;17:11:43;17:12:06;17:15:07;17:17:18;17:19:30;17:23:37;17:27:14;17:33:03;17:33:41;17:36:45;17:41:38;17:46:25;17:55:52;18:08:48;18:13:25;18:15:52;18:20:20;18:21:16;18:25:35;18:29:27;18:35:28;18:36:38;18:40:04;18:42:22;18:46:35;18:55:50;18:57:54;19:01:31;19:05:45;19:13:36;19:18:09;19:20:46;19:22:42;19:23:28;19:25:03;19:28:06;19:31:17;19:32:49;19:36:15;19:38:42;19:39:34;19:41:11;19:41:29;19:41:59;19:43:51;19:46:33;19:51:07;19:53:35;19:56:54;20:09:30;20:12:03;20:12:20;20:16:18;20:16:20;20:16:56;20:17:44;20:20:31;20:21:16;20:22:15;20:23:19;20:23:54;20:25:03;20:25:09;20:25:35;20:25:39;20:26:04;20:26:12;20:26:32;20:27:06;20:31:31;20:32:28;20:34:45;20:37:08;20:37:09;20:44:04"
6;"17:02:06;17:02:08;17:02:15;17:02:25;17:02:30;17:02:37;17:02:42;17:02:52;17:02:56;17:03:02;17:09:14;17:12:32;17:12:57;17:14:38;17:22:34;17:23:50;17:31:16;17:35:09;17:56:17;18:12:00;18:13:53;18:15:20;18:15:27;18:16:31;18:16:52;18:18:42;18:23:12;18:24:41;18:32:41;18:38:04;18:40:47;18:42:08;18:45:19;18:51:29;18:53:14;18:54:09;18:57:00;19:01:57;19:03:57;19:04:23;19:04:54;19:05:48;19:05:52;19:06:49;19:07:20;19:10:03;19:10:10;19:11:10;19:11:21;19:12:27;19:13:24;19:15:49;19:18:12"
7;"17:02:06;17:02:10;17:02:14;17:02:25;17:02:28;17:02:36;17:02:40;17:03:46;17:04:21;17:04:31;17:04:42;17:04:58;17:06:07;17:06:57;17:07:33;17:09:22;17:10:28;17:10:53;17:11:21;17:13:37;17:17:36;17:20:26;17:21:40;17:22:58;17:28:29;17:31:40;17:31:55;17:32:03;17:32:26;17:33:47;17:38:35;17:40:28;17:43:09;17:43:16;17:44:57;18:03:52;18:07:43;18:16:44;18:16:56;18:17:11;18:33:09;18:37:37;19:00:42;19:05:43;19:05:47;19:07:32;19:17:08;19:18:49;19:19:39;19:21:42;19:21:48;19:32:04;19:33:37;19:36:34;19:36:50;19:36:55;19:36:58;19:38:11;19:38:17;19:42:09;19:44:13;19:44:20;19:44:39"
8;"17:02:06;17:02:10;17:02:18;17:02:30;17:02:48;17:02:54;17:03:04;17:03:10;17:04:11;17:04:19;17:09:44;17:10:03;17:10:47;17:10:53;17:15:19;17:20:08;17:20:16;17:20:54;17:26:04;17:31:14;17:34:33;17:35:32;17:36:22;17:40:09;17:45:28;17:49:00;17:50:39;17:53:41;17:58:52;18:01:36;18:01:44;18:04:15;18:10:08;18:19:37;18:40:23;18:40:44;18:43:06;18:43:11;18:44:19;18:44:24;18:46:05;18:46:10;18:46:14;18:48:48;18:55:43;18:58:03;19:02:19;19:23:53;19:24:44;19:24:49;19:27:25;19:37:31;19:42:48;19:43:42;19:43:45;19:43:50;19:43:59;19:44:05;19:45:59;19:46:25;19:49:10;19:51:01;19:51:15;19:55:46;20:00:54;20:02:02;20:02:42;20:10:33;20:11:09;20:11:33;20:11:59;20:12:34;20:16:40;20:16:45;20:18:37;20:18:43;20:20:07;20:24:19;20:24:21;20:26:56;20:26:59;20:31:00;20:33:46;20:35:00;20:36:03;20:36:24;20:36:26;20:36:58;20:38:17;20:39:10;20:39:51;20:40:21;20:40:42;20:40:46;20:40:51;20:40:56;20:41:01;20:41:18;20:41:30;20:41:35"
9;"17:02:06;17:02:21;17:07:50;17:08:34;17:08:45;17:09:26;17:09:59;17:11:42;17:12:03;17:15:02;17:15:12;17:17:47;17:17:59;17:18:23;17:18:30;17:19:11;17:19:21;17:29:49;17:40:54;17:43:01;17:45:19;17:47:12;17:50:03;17:55:48;17:56:55;17:58:37;17:58:47;17:58:53;17:59:01;18:01:44;18:11:08;18:13:01;18:14:37;18:17:11;18:29:58;18:37:09;18:53:17;18:53:24;18:54:48;18:59:08;19:06:04;19:10:40;19:13:12;19:13:18;19:14:50;19:18:04;19:21:58;19:24:11;19:27:22;19:30:22;19:35:06;19:36:45;19:38:55;19:40:01;19:43:09;19:44:08;19:44:35;19:49:51;19:50:01;19:50:36;19:51:01;19:54:23;19:55:29;19:56:19;19:56:29;19:57:41;19:58:17;20:00:24;20:00:59;20:01:05;20:06:31;20:15:56;20:18:30;20:20:16;20:20:31;20:22:34;20:24:02;20:30:34;20:30:56;20:34:16;20:35:46;20:37:39;20:37:54;20:39:10;20:39:44;20:41:26;20:46:53;20:47:44;20:48:10;20:51:35;20:52:56;20:53:40;20:54:04;20:56:06;20:56:39;20:56:44;20:57:36;20:57:46;20:58:24;20:58:36;20:59:08;20:59:24"
10;"17:02:06;17:02:11;17:02:24;17:03:03;17:03:18;17:04:23;17:05:56;17:06:08;17:08:09;17:08:24;17:09:16;17:09:26;17:13:01;17:14:05;17:15:53;17:16:42;17:18:33;17:18:42;17:19:28;17:19:43;17:19:47;17:20:10;17:30:58;17:32:32;17:37:42;17:39:37;17:53:57;17:54:37;17:55:04;17:56:10;17:57:51;18:00:56;18:02:13;18:03:55;18:09:02;18:10:34;18:11:37;18:11:47;18:11:54;18:16:26;18:16:36;18:56:06;18:56:33;19:03:35;19:03:41;19:11:14;19:13:08"
