round;time
1;"01:30:30;01:30:30;01:24:02;01:30:16;01:23:50;01:30:30;01:24:14;01:27:19;01:22:19;01:27:09;01:20:12;01:25:17;01:20:33;01:25:42;01:20:41;01:18:54;01:21:04;01:10:19;01:20:12;01:05:43;01:07:49;00:53:35;01:00:11;00:45:10;01:00:31;00:39:45;00:49:01;00:36:54;00:47:04;00:36:23;00:34:44;00:32:23;00:28:00;00:25:46;00:28:22;00:23:41;00:25:01;00:20:44;00:21:30;00:15:23;00:14:32;00:11:51;00:06:00;00:07:47;00:05:09;00:08:14;00:03:31;00:06:53;00:03:37;00:07:03;00:03:39;00:07:25;00:03:59;00:04:23;00:03:41;00:04:16;00:03:50;00:04:44;00:03:54;00:02:44;00:03:28;00:02:54;00:02:17;00:02:22;00:00:39;00:01:48;00:00:31;00:02:07;00:01:00;00:02:19"
2;"01:30:30;01:30:30;01:30:56;01:27:46;01:31:18;01:28:06;01:31:34;01:28:28;01:31:24;01:28:07;01:31:13;01:28:23;01:31:37;01:28:20;01:28:03;01:22:56;01:23:23;01:21:33;01:19:22;01:19:35;01:13:39;01:16:27;01:12:40;01:15:56;01:09:25;01:12:47;00:49:09;01:08:33;00:48:56;01:06:02;00:45:40;01:04:36;00:45:55;01:00:24;00:42:07;00:58:57;00:38:26;00:56:35;00:34:23;00:55:20;00:32:35;00:52:24;00:32:10;00:52:00;00:32:15;00:51:58;00:31:57;00:47:09;00:32:17;00:45:47;00:31:13;00:44:39;00:27:34;00:40:50;00:23:43;00:40:13;00:23:25;00:34:10;00:21:52;00:34:07;00:19:26;00:33:06;00:19:10;00:32:32;00:17:58;00:25:24;00:17:34;00:24:28;00:16:42;00:23:56;00:14:46;00:22:18;00:14:36;00:20:42;00:13:58;00:19:31;00:13:01;00:19:27;00:40:05;00:48:21;00:33:07;00:44:58;00:32:51;00:44:07;00:24:41;00:43:24;00:23:28"
3;"01:30:30;01:30:30;01:30:46;01:30:56;01:31:09;01:31:23;01:31:03;01:29:20;01:29:58;01:17:23;01:30:02;01:12:14;01:30:01;01:10:19;01:30:21;01:10:45;01:28:58;01:11:01;01:27:00;01:01:48;01:19:48;01:01:50;01:18:30;01:01:28;01:17:59;00:46:53;01:17:55;00:33:26;01:18:19;00:33:36;01:14:53;00:32:58;01:12:09;00:30:30;01:11:55;00:27:31;01:02:15;00:24:52;01:02:34;00:16:34;01:02:03;00:16:03;00:58:19;00:16:17;00:55:17;00:16:36;00:54:37;00:14:17;00:53:36;00:14:00;00:50:34;00:07:40;00:34:05;00:05:48;00:33:06;00:05:00;00:33:15;00:05:26;00:33:39;00:05:17;00:33:23;00:04:58;00:31:29;00:01:29;00:26:06;00:01:34;00:26:12;00:00:58;00:25:00;00:01:23"
4;"01:30:30;01:30:30;01:30:55;01:30:15;01:31:16;01:30:24;01:31:02;01:29:19;01:30:19;01:29:37;01:29:00;01:28:07;01:28:31;01:23:29;01:28:19;01:15:50;01:19:00;01:12:54;01:17:50;01:00:39;01:16:58;00:39:21;01:11:35;00:37:18;01:00:26;00:25:26;00:58:05;00:25:44;00:55:12;00:22:13;00:48:30;00:16:08;00:43:38;00:15:58;00:43:19;00:13:39;00:41:48;00:13:41;00:42:12;00:12:21;00:38:28;00:06:41;00:29:47;00:03:41;00:28:49;00:03:19;00:29:10;00:03:31;00:28:59;00:04:00;00:25:12;00:03:39;00:25:13;00:02:26;00:25:01;00:01:54;00:25:08;00:02:02;00:24:25;00:01:38;00:24:08;00:01:39;00:23:55;00:01:52;00:22:35;00:01:38;00:21:15;00:02:07;00:21:16;00:02:35;00:19:30;00:01:46;00:18:10;00:02:06;00:16:30;00:02:01;00:16:53;00:02:23;00:12:15;00:01:07;00:42:15;00:30:53;00:41:49;00:24:03;00:40:23;00:15:39;00:40:32;00:14:40;00:40:26;00:15:03;00:40:03;00:14:13;00:37:50;00:14:37;00:37:17;00:13:03;00:35:05;00:13:24;00:34:58;00:13:05;00:34:47;00:11:12;00:34:34;00:09:38;00:32:39;00:10:03;00:31:59;00:08:35;00:31:15;00:08:34;00:31:06;00:08:48;00:30:32;00:08:41;00:30:24;00:08:57;00:30:18;00:09:25;00:29:27;00:09:44;00:29:42;00:09:29;00:30:00;00:08:32;00:30:20"
5;"01:30:30;01:30:30;01:30:56;01:30:42;01:31:01;01:30:29;01:31:25;01:28:10;01:31:12;01:25:58;01:29:27;01:24:53;01:25:57;01:19:34;01:26:22;01:18:51;01:23:47;01:19:12;01:24:07;01:17:18;01:22:36;01:13:10;01:22:34;01:13:28;01:22:18;01:12:07;01:21:18;01:09:26;01:19:55;01:04:19;00:50:26;01:04:41;00:50:55;00:21:04;00:30:18;00:19:55;00:29:41;00:20:20;00:30:06;00:19:38;00:25:45;00:05:19;00:23:50;00:04:21;00:10:02;00:04:18;00:10:04;00:03:05;00:10:29;00:02:56;00:08:29;00:03:06;00:08:43;00:02:21;00:08:52;00:02:25;00:09:01;00:01:31;00:07:50;00:01:14;00:07:32;00:00:44;00:05:08;00:00:43"
6;"01:30:30;01:30:30;01:30:58;01:30:44;01:31:12;01:30:54;01:31:36;01:30:43;01:31:51;01:30:28;01:30:09;01:30:29;01:29:37;01:30:23;01:29:06;01:30:33;01:28:34;01:30:34;01:27:45;01:30:30;01:24:30;01:29:28;01:13:16;01:29:35;01:08:46;01:29:16;01:01:51;01:24:33;01:00:49;01:23:53;00:58:16;01:17:06;00:53:36;01:17:13;00:49:28;00:50:35;00:41:36;00:46:59;00:38:28;00:39:42;00:35:09;00:36:07;00:33:42;00:36:18;00:30:12;00:33:10;00:28:53;00:33:15;00:26:40;00:27:49;00:22:36;00:28:08;00:22:33;00:27:28;00:22:35;00:21:43;00:22:04;00:20:52;00:18:56;00:21:02;00:17:49;00:21:31;00:18:08;00:21:58;00:18:11;00:20:15;00:18:14;00:20:10;00:18:20;00:18:52;00:17:12;00:19:11;00:17:15;00:19:33;00:17:04;00:07:54"
7;"01:30:30;01:30:30;01:30:57;01:30:56;01:31:21;01:31:22;01:31:46;01:31:44;01:32:07;01:31:49;01:32:31;01:32:15;01:32:55;01:32:42;01:32:59;01:32:51;01:33:23;01:32:56;01:33:42;01:33:05;01:33:29;01:29:51;01:33:28;01:17:01;01:30:07;01:17:26;01:30:24;01:15:02;01:25:44;01:08:27;01:18:39;01:08:52;01:18:15;01:08:39;01:18:38;01:06:34;01:08:32;01:04:45;01:05:59;01:03:57;01:00:00;00:55:22;00:51:23;00:55:05;00:49:30;00:50:53;00:35:14;00:48:53;00:31:07;00:46:17;00:28:18;00:45:48;00:19:01;00:45:19;00:19:04;00:44:38;00:16:29;00:40:34;00:16:50;00:35:32;00:15:23;00:16:43;00:10:35;00:16:01;00:10:16;00:12:03;00:08:35;00:11:50;00:07:34;00:10:38;00:06:40;00:10:27;00:06:47;00:04:46;00:03:47;00:03:00;00:03:37;00:00:34;00:02:28;00:00:35;00:31:37;00:30:32;00:20:38;00:30:32;00:21:00;00:28:52;00:16:48;00:19:47;00:13:14;00:11:56;00:07:10;00:11:21;00:04:51;00:04:57;00:03:45;00:04:08;00:02:06;00:03:57;00:01:17;00:03:13;00:01:03;00:00:52;00:01:27;00:01:20;00:00:53;00:00:38;00:00:50;00:00:34;00:00:47;00:01:01;00:01:06;00:01:18;00:00:58;00:01:43;00:01:04;00:01:48;00:00:53;00:02:12;00:00:39;00:02:00;00:00:47;00:01:06;00:00:46;00:01:28;00:00:52;00:01:49;00:01:02;00:01:23;00:00:36;00:01:23;00:00:56;00:01:40;00:00:56;00:00:40;00:00:42;00:00:35;00:01:03;00:00:35;00:01:29;00:00:46;00:01:47;00:01:11"
8;"01:30:30;01:30:30;01:30:57;01:29:46;01:31:19;01:30:10;01:31:45;01:30:36;01:31:34;01:30:57;01:32:01;01:30:58;01:32:21;01:31:23;01:32:45;01:31:48;01:33:10;01:32:13;01:33:38;01:29:11;01:33:19;01:29:06;01:32:25;01:29:27;01:20:19;01:23:19;01:20:16;01:23:33;01:17:03;01:23:48;01:17:03;01:23:51;01:17:19;01:20:40;01:17:44;01:21:08;00:59:41;01:19:03;00:56:24;01:19:28;00:56:02;01:19:53;00:54:17;01:19:58;00:53:43;01:20:07;00:50:40;01:20:30;00:41:38;01:16:43;00:40:52;01:17:09;00:40:56;01:17:30;00:41:13;01:17:56;00:38:43;01:18:21;00:39:04;01:15:17;00:38:56;01:15:38;00:36:01;01:16:03;00:36:26;01:16:08;00:36:51;01:16:26;00:34:26;01:16:48;00:34:31;01:14:53;00:33:02;01:14:46;00:33:06;01:14:37;00:20:27;01:15:02;00:12:19;01:15:24;00:42:42;01:45:14;00:41:58;01:45:36;00:41:52;01:45:57;00:39:52;01:46:07;00:40:04;01:46:25;00:40:32;01:46:45;00:40:44;01:46:36;00:40:43;01:46:56;00:40:59;01:47:15;00:41:25;01:46:34;00:40:05;01:43:36;00:37:13;01:29:58;00:36:26;01:30:21;00:36:42;01:30:11"
9;"01:30:30;01:30:30;01:30:57;01:30:37;01:31:21;01:30:29;01:31:27;01:28:39;01:29:41;01:24:54;01:29:35;01:25:06;01:28:33;01:25:26;01:25:37;01:25:17;01:25:59;01:25:35;01:25:16;01:23:19;01:25:31;01:22:51;01:23:43;01:22:16;01:21:22;01:14:55;01:19:07;01:11:43;01:12:45;01:10:22;01:12:08;01:09:14;01:07:10;01:08:07;01:06:28;01:00:48;01:05:12;01:00:41;01:02:37;01:00:51;01:02:40;00:55:24;00:57:12;00:44:21;00:56:35;00:41:01;00:44:49;00:40:42;00:44:41;00:40:31;00:42:55;00:40:06;00:42:55;00:40:17;00:42:25;00:39:06;00:41:55;00:38:48;00:41:13;00:36:37;00:39:23;00:36:26;00:34:34;00:34:51;00:33:09;00:29:12;00:32:00;00:25:27;00:28:26;00:23:55;00:26:46;00:23:11;00:25:00;00:21:30;00:15:09;00:09:18;00:15:32;00:07:22;00:08:31;00:05:50;00:38:54;00:34:07;00:39:14;00:32:00;00:39:34;00:23:08;00:39:23;00:21:42;00:37:27;00:22:00;00:34:49;00:21:24;00:34:57;00:21:45;00:35:08;00:21:35;00:26:18;00:19:39;00:25:46;00:17:33;00:24:07;00:17:16;00:23:18;00:16:13;00:21:14;00:13:57;00:21:18;00:12:56;00:14:39;00:11:13;00:14:58;00:08:08;00:15:11;00:08:07;00:12:44;00:08:34;00:11:36;00:08:08;00:10:47;00:07:01;00:11:08;00:06:45;00:11:32;00:06:44;00:10:44;00:07:10;00:09:15;00:04:24;00:09:02;00:04:19;00:08:00;00:03:04;00:06:03;00:03:11;00:05:19;00:03:08;00:05:40;00:03:15;00:05:33;00:03:00;00:03:25;00:02:13;00:02:56;00:02:31;00:02:30;00:03:04;00:02:51;00:03:20;00:03:06"
10;"01:30:30;01:30:30;01:30:08;01:30:28;01:29:58;01:28:32;01:28:58;01:27:23;01:29:17;01:26:13;01:29:29;01:23:54;01:29:35;01:20:03;01:29:20;01:17:10;01:29:26;01:11:57;01:28:04;01:11:35;01:17:21;00:49:29;01:14:53;00:46:45;01:12:15;00:41:09;01:06:48;00:36:20;01:00:16;00:36:03;01:00:30;00:36:20;00:53:32;00:33:15;00:52:18;00:32:35;00:51:34;00:33:02;00:49:36;00:32:12;00:48:12;00:31:09;00:48:32;00:31:33;00:48:51;00:31:47;00:49:07;00:27:07;00:48:43;00:27:32;00:48:59;00:18:50;00:44:13;00:18:28;00:44:29;00:18:52;00:42:14;00:14:04;00:39:35;00:12:52;00:39:18;00:09:22;00:39:07;00:09:46;00:39:36;00:09:29;00:33:50;00:03:05;00:33:23;00:03:26;00:33:37;00:03:46;00:33:35;00:04:12;00:33:37"
